Id,Tweet,is_retweet,following,followers,actions,label
732566520895836160,#Download #Song #Mama-Oom-Mow-Mow__The Bird OF #The_Rivingtons @songsbulk https://t.co/waRlPb4LWD,0,0,5,0,1
732566525069119488,"Found a Transponder Snail! ""I'll never forget you!!"" Local cook sets sail! https://t.co/tpDegkRGSt #TreCru https://t.co/SHUhIi4nlx",0,0,204,0,1
732566537639366656,"Maintaining a cool and calm attitude can be a challenge today,... More for Aries https://t.co/LGoalUCfrn",0,312,308,0,1
732566554412519424,I take a few of his supplements and see the difference! https://t.co/OKceiDShpf,0,579,100,0,1
732566554424971272,RT @GrowthHackerSEO: 16 #SEO Experiments That Will Change The Way You Think About SEO (Forever) https://t.co/awZJ5wn7ac https://t.co/t8rTFA�,0,881,249,21,1
732566554450268160,"get free #iTunes, #Amazon, #Xbox and other gift cards with @AppBounty. Use my link for a bonus: https://t.co/Qje9woyymT",0,0,7,0,1
732566554420744192,I'm earning #mPOINTS with #SwapDaGem ! https://t.co/WsfsO1iwDb,0,17,28,0,1
732566562817761280,It seems like someone is trying to convince you to do somethin... More for Cancer https://t.co/9zkC4d4szq,0,1183,1616,0,1
732566562813575168,Get Weather Updates from theweatherchannel 09:40:54,0,14,0,0,1
732566562805256192,I am very versatile and can accomodate many of your needs!!  https://t.co/bMDrs9G6km  Brighton Escorts https://t.co/LvG30wMpHt,0,9443,10715,1,1
732566575388237824,Search intent signals: aligning organic &amp; paid search strategy https://t.co/6xJC0h689H,0,0,2,0,1
732566575383871488,For #tips on great smelling #hair watch https://t.co/p6yXg6IZIY,0,110,919,4,1
732566579599278081,RT @Poundland: #WIN a baking hamper! Follow &amp; RT with #PoundlandBakingDay to enter. t&amp;c: https://t.co/cYfbvJ5IHz https://t.co/vxWbYkzKeo,0,4739,414,805,1
732566583789379584,RT @GoAhead: We've a go ahead! hamper #giveaway - perfect for those summer picnics. RT &amp; follow for your chance to #WIN https://t.co/eAHph1�,0,251,13,3662,1
732566583806058496,Your stellar presentation enables everyone to witness your det... More for Pisces https://t.co/aBUQomBPip,0,220,342,0,1
732566583789264896,Happy #tittytuesday!  #playtime #bigtits #hotwife #NGOT #amateur @ArmyofAmateurs @HotWifePromo @poccaxx75 @JuicyWife https://t.co/NPSSQuVAps,0,779,48105,184,1
732566587975307264,Check out callaway big bertha driver https://t.co/1LxqDDlCCe @eBay #golf #bargain,0,500,119,0,1
732566604760928256,RT @MyCozyHat: Gumball Furry Monster Toy https://t.co/2iuyvxhRC4 #etsymntt #gumball #etsysocial #monster #toy #kids #pink #decor #pillow #p�,0,947,6494,35,1
732566600574869508,Live Above Your Business. Anthony on the #storefront level of our NOCO Live+Work units in Columbia City. #openhouse https://t.co/UJaiYzbaay,0,1682,1495,1,1
732566608967651328,Mobile week Loading.....  #TechnoBoomJ8  #RealTalkKE https://t.co/JaBGbCFCwA,0,2355,28896,2,1
732566608971882497,"Win LIVING HOPE on DVD, from @yesnofilms! Ends 5/17. https://t.co/iXfQODldu1 https://t.co/kZwExFKcig",0,2162,403,0,1
732566608967655424,"Although you foresee big changes unfolding at work, your smart... More for Taurus https://t.co/F4YmUqRi83",0,0,497,0,1
732566617327046657,Get Weather Updates from theweatherchannel 09:41:07,0,8,1,0,1
732566621554888705,"I managed to chase enemies from the village! https://t.co/xgpdVJTY2y  #androidgames, #gameinsight",0,8,1,0,1
732566621559099392,RT @NYSElyDone: Ross' #DayTrading #Market Recap Video on $MGT | MONSTER MOVES| https://t.co/5mfcYl1xBR | $SPY #StockTrading https://t.co/BX�,0,2864,1874,1,1
732566621546545152,Carpet Cleaning Carpet Cleanings #MattressCleaning Listed at: https://t.co/CeCkhG0Ehj,0,0,14,0,1
732566629909925888,"RT @RWTnow: Happy birthday, Gary Paulsen! Check out this HS lesson that uses his novel Hatchet https://t.co/zME3sZK7dw https://t.co/aVRtYSC�",0,144,365,21,1
732566629939175424,Join and Enjoy more then 9k Social Media Girls ID. They are Waiting For You!! (18+ only) https://t.co/YvXsryexVX #Adultcam,0,2,59,0,1
732566638331994115,RT @moonlovers: Earthtone Amazonite 8mm Faceted Rondelle Stretch Bead Bracelet with Sterling Silver Accent eee https://t.co/mdQ7TmWf2Z,0,8107,7056,3,1
732566638332137472,RT @Vilepredator: Hey Hey guys Shoot me your twitch links so I can follow! =) #supportsmallstreams #twitch #networking @TwitchGrow @DNR_CRE�,0,2438,6919,10,1
732566638332108800,"Credit Controller, Bicester, �20k - 21k/year + bens #job #jobs #hiring #AccountingJobs https://t.co/zcDBYvKtUs",0,752,678,1,1
732566638323732480,@dreammktg Looks like you need a #lawyer visit https://t.co/HFc51Roqix to find out more. #lawyerpros https://t.co/uaMlG9YIuW,0,26361,42765,0,1
732566642497097729,Skiny tanned girl licked fingered sucking cock riding on guy https://t.co/QRQI1aDLS0,0,0,4,0,1
732566646691221504,137390 maret 2015,0,5653,5962,0,1
732566646708035585,"Although you foresee big changes unfolding at work, your smart... More for Taurus https://t.co/nwMGTpXlPx",0,1900,889,0,1
732566646720724992,I got a length of 10795 in https://t.co/ic3aDaqVX5! Can you beat that? #slitherio,0,3920,638,0,1
732566655088394244,Get Weather Updates from theweatherchannel 09:41:16,0,16,2,0,1
732566655105130496,bigguy073043 see him now live at https://t.co/KEmmPM62XE #gay #gayboy #gaycam https://t.co/CczAhrCEGI,0,0,1050,1,1
732566659295236096,#Win tickets to the Aegon Open WTA Tournament in our fantastic competitions https://t.co/6nJvPBIy9y #Nottingham https://t.co/Fu5erii2Gs,0,590,2489,0,1
732566663485259776,RT @zaynmalik: Thas ma girl https://t.co/Mi0rnoOWs9,0,2077,2601,111113,1
732566663489564673,Get Weather Updates from theweatherchannel 09:41:18,0,14,1,0,1
732566663476981760,Sports Betting System https://t.co/SzbpCp3caN,0,91,31,0,1
732566667696332800,"#jobs #jobsearch # #Custodial Service Worker - Cherokee County School District:              #GA-Canton, Abou... https://t.co/KLW6WvoCS9",0,975,866,1,1
732566676063936513,Conflicting emotions may tug at you until you begin to feel a ... More for Gemini https://t.co/f0s98pTZap,0,72,61,0,1
732566676076650496,RT @MikeAndMike: RT this pic of Golic and be entered for a chance to win an awesome prize courtesy of @GoDaddy.  #MikesSweepstakes https://�,0,1379,84,6856,1
732566680249892865,Get Weather Updates from theweatherchannel 09:41:22,0,6,0,0,1
732566684473696256,RT @abe_erb: Give-away to Lobster &amp; Ribfest retweet to enter to win yours @Innocente_Brew @BlockThree @kcrotaryevents https://t.co/BZsCWC2n�,0,3504,1445,53,1
732566697048055809,Get Weather Updates from theweatherchannel 09:41:26,0,8,0,0,1
732566697052246016,"Your creative prowess is readily apparent at work today, embol... More for Leo https://t.co/Pocb3b5wB6",0,131,65,0,1
732566697043853313,RT @PatriotBrother: Transgender Bathroom Problem Solved! https://t.co/818N9UMyhc,0,734,898,102,1
732566697043955712,TALES FROM THE CLUB-The Radio Show 020  includes:#deepislove Soulful REMIX LISTEN on iTUNES:https://t.co/zSFZaFHnF0 https://t.co/GzkJgSUsej,0,7201,5442,3,1
732566697039826944,#ROBERTOCAVALLI shop now https://t.co/RneWK4Cz9b log in and get 10% OFF #RobertoCavalliSS16 #midseason #sale https://t.co/l013SXRgMi,0,1434,245,0,1
732566701229871105,Watch: Karcher K5.40 electric #pressurewasher review https://t.co/SGYMm6GJge,0,149,216,0,1
732566709635325953,I have a rising follower graph! 5 more followers in the past week. Get your stats right here https://t.co/O8I6KLi0Gk,0,386,545,0,1
732566709631094785,@SC_Anim_Hlth LOVE YOUR PET? Worried about FLEAS and TICKS DON'T GAMBLE WITH YOUR PETS HEAL https://t.co/jqMig059xV https://t.co/yvN4nj0q6i,0,1918,810,0,1
732566713812668418,You might think your practical approach to financial matters i... More for Virgo https://t.co/O2bMQSThnn,0,997,1335,0,1
732566730606678016,Share your plans with your closest supporters before it become... More for Sagittarius https://t.co/zRoj4RlclP,0,442,513,0,1
732566734801080320,slutty lola foxxxylady https://t.co/1BOCqAklcO,0,2,3,0,1
732566734801149952,Lacking wisdom? Ask and you shall receive! theladycheek #godsword� https://t.co/d5D1mRhYQu,0,466,327,1,1
732566738982699008,Need the best professional help to sell your Del Prado home? These 5 questions will work like magic when you... https://t.co/GWX80A1qSd,0,394,290,0,1
732566743164563457,Brandwatch is looking for: Senior JavaScript Developer - Brighton https://t.co/uuGklJoNsj #job,0,632,344,0,1
732566743168757760,Enter to Win A 1/2CT Tanzanite Stud Earrings @MaxwellsAttic #sweepstakes #freebie https://t.co/LYMY6na7FR,0,1055,29,0,1
732566747362955264,#PHOTOGRAPHY | Broncolor Goes Wireless with Battery-Powered �Siros L� Monolights https://t.co/G754ZerRne | #IG NAMUHSTRADAMUS,0,520,2377,0,1
732566755764281344,RT @AqualisaShowers: DAY 6 @GDLive_UK #WIN a spa stay for two! Follow &amp; retweet to be automatically entered #EveryoneLovesAPamper https://t�,0,2249,249,472,1
732566759941799937,"#Job #GrandRapids Customer Service Executive - Portuguese: Grand Rapids, Customer Service Executive - Portugu... https://t.co/25AubZbuPk",0,535,355,0,1
732566759945867265,I liked avideo fromThe TRUTH about 3way and 4way SLI - NVIDIA GTX1080 and 1070 https://t.co/iZhwlDbYBc,0,15,55,0,1
732566764144361474,"#GrandRapids #Jobs Customer Service Site Director: Grand Rapids, Customer Service Site Director We�re seeking... https://t.co/smNE0llaNb",0,875,626,0,1
732566768330244097,Get Weather Updates from theweatherchannel 09:41:43,0,38,4,0,1
732566772549750784,You clearly comprehend the measurable benefits of your current... More for Aquarius https://t.co/byRRXArQon,0,0,76,0,1
732566772541489152,VERY public #pantypeek https://t.co/JRxY6wRh1X https://t.co/ayjAdvrhm8,0,4732,11268,2,1
732566776723038208,Get Weather Updates from theweatherchannel 09:41:44,0,41,1,0,1
732566776735760384,STYLE: NEW LOOK PINK BOMBER JACKET https://t.co/kiqltsmjc4 on @bloglovin,0,337,273,0,1
732566780934258689,"RT @AmyBooksy: Enter to #win @JustCommonly's May #Giveaway, @DaniPettrey @LynetteEason #SinsofthePast https://t.co/JCTg60izvE https://t.co/�",0,3504,1445,2,1
732566797694590976,#milf #teens Petite Teen deepthroat doggystyle - https://t.co/vyWD7HotEK #fakeagent #pornvideos #babe,0,0,70,0,1
732566801880653824,82% of organizations are using a #HybridCloud. Is yours? Watch this #video from @SentinelSTI https://t.co/gIcOonkyba https://t.co/AqjJYpxWvI,0,405,235,2,1
732566806091685888,"BOXPARK by Roger Wade, Shoreditch London store design eco https://t.co/FOmNprkr0J",0,2223,1665,0,1
732566806078984192,Get Weather Updates from The Weather Channel. 09:41:52,0,45,1,0,1
732566814463381505,Get Weather Updates from The Weather Channel. 09:41:54,0,0,0,0,1
732566814484516864,We're hiring @womensfoundca! Join our growing team!  https://t.co/xs4sQLa0Qp #jobs #philanthropy,0,1069,2380,5,1
732566822856196096,Top Magazines )) Vanity Fair All Access Magazine Subscription Conde Nast Price:   $15.00  ($1.25/issue) (Visi... https://t.co/FKGjfWrh2O,0,644,448,0,1
732566831261614080,Get Weather Updates from The Weather Channel. 09:41:58,0,6,3,0,1
732566835460104192,"I'm trying to win the Ultimate Gift Basket, and don't worry you can too! https://t.co/mtQ7SbuJzR",0,496,218,0,1
732566839641833472,Although you're fully capable of understanding both sides of a... More for Libra https://t.co/xrkLVEO1jG,0,1717,1002,0,1
732566856402374656,"My Top 5 Followers: @Michaelrj_10, @msgtoganeshm, @aswin_Offl_, @sarfirasams, @SuriyaBloodz. Find Yours Free at https://t.co/Ws26h8deDC",0,821,2379,3,1
732566856435961857,Gawker accountant. #ObsoleteJobSkills,0,203,195,0,1
732566852216324097,Made for those who like to go an extra mile. Stay protected with SunZone sunscreen. #StayFit #Sunsafety https://t.co/cUnzZFwP1e,0,340,324,7,1
732566860617523200,"Although you foresee big changes unfolding at work, your smart... More for Taurus https://t.co/VQ981kz4xb",0,479,609,0,1
732566864816177153,one person followed me // automatically checked by https://t.co/AW3gse50ZG,0,351,376,0,1
732566869006131205,Wear sunscreen Vol. II https://t.co/rXfht9294S,0,254,72,0,1
732566868993675264,@Harry_Styles You have the kindest heart and purest soul. Never stop being the lovely angel you are. I love you. Mind following me? �142.499,0,0,7524,0,1
732566873204654080,Although you're fully capable of understanding both sides of a... More for Libra https://t.co/hwCtanjy6I,0,65,40,0,1
732566873183637505,I would love to show you my #listing at 100 Ave I SLIP 39 #CocoPlum #FL https://t.co/wjH594B7ab #realestate https://t.co/sJL093gtYt,0,30,108,0,1
732566877407436801,Phone Lookup and Caller Complaints 0207-946-1783. Find who calls you! https://t.co/8BJZQN4WsL #02079461783,0,0,6,0,1
732566881568051203,"Follow me (+terwindt) on @CyberDustApp,  Private Messaging. Private Networking.  https://t.co/H3apeRXn4a https://t.co/G2vBoNB2qn",0,745,607,1,1
732566889981980672,RT @BarclaysUK: For a chance to WIN 3 tickets to our LGBT+ #nofilter event answer the below Q by 22/05. T&amp;Cs https://t.co/fK9Sqcnuwk https:�,0,2427,251,77,1
732566898357964801,ATTI: ML07Red Bus 151 on the Red Line is @ Patteson &amp; Univ. approaching Towers:5/17/2016 9:42:08 AM To Lair &amp; Dwntwn.,0,57,280,0,1
732566898345414656,Found a Transponder Snail! Execution! Is this the Straw Hats' final moment?! https://t.co/vfNihAIFfc #TreCru https://t.co/vMOkP5ndGa,0,0,2,0,1
732566902543941632,"@handmadecraftz Wine red genuine #leather #Retro 80�s Women�s #wallet with raised print, https://t.co/St6KDQkXyh https://t.co/3Lk65H3pvQ",0,4270,4509,0,1
732566919329546240,"@DouthitKenzie watching your 16 and pregnant episode, can't wait till the teen mom 3 comes back on !!",0,729,90,0,1
732566919342137344,I just entered the @fryselectronics #Frys25KProductGiveaway! https://t.co/UeBIFqyMyZ,0,2750,167,0,1
732566919354716160,Check out this awesome new app! Guess The Emoji on the App Store! https://t.co/emahG56ci8 https://t.co/Ri0xNhlJLk,0,304,9,2,1
732566923527868418,Your stellar presentation enables everyone to witness your det... More for Pisces https://t.co/Ylli8TEybp,0,26,39,0,1
732566936110960640,Day 2 @ #GEOINT2016. Stop by @cainc booth 1439 for expert advice on #security #API #devtest @GEOINTsymposium,0,835,271,0,1
732566944482787328,Help me win a Budweiser Man Cave! https://t.co/5vO9g1yCN1,0,495,113,0,1
732566944503603200,"Your imagination is running wild today, but you seem so pragma... More for Scorpio https://t.co/AxfxCLLH1C",0,141,137,0,1
732566948697890816,My new remix on Smiley Fingers for the label boss aka larrycadge is OUT NOW on @beatport. Grab� https://t.co/EGBhALwBSQ,0,1686,3342,1,1
732566948702216192,RT @Poundland: #WIN a baking hamper! Follow &amp; RT with #PoundlandBakingDay to enter. t&amp;c: https://t.co/cYfbvJnk69 https://t.co/M2wdECnwTA,0,4215,1011,436,1
732566940309422080,"#Ledbury Full of lovely timber-framed buildings, including one with medieval wall paintings https://t.co/TGci97XN6c https://t.co/MC4FvJSWRy",0,708,234,1,1
732566952892190720,Fight tough odors with @Downy Fresh Protect at @WalmartCanada #in a $50 GC via@Gingermommy #MomsShopWalmart https://t.co/crYb08n7SW,0,2185,220,0,1
732566952892190721,"RT @Razer: Enter to win the dream setup of a new Razer Blade, Chroma set, CSGO skins and more https://t.co/hZsyukqOeh #RazerDH https://t.co�",0,972,160,7047,1
732566961293393920,"RT @sdbernard: Check out my latest map-fest, investigation into the next big quake in Japan https://t.co/okbGsFB9vr #GIS #gistribe https://�",0,1480,8324,20,1
732566961264037888,Store all your important pictures on your phone with 16 gb inbuilt memory. #EvokOnFK @Micromax_Mobile  https://t.co/2D4GawtTs5,0,830,18232,0,1
732566961268396034,"Now hiring for Senior Applications Engineers - Robotics in Nitra, Slovakia https://t.co/wQ3CnKeoKm #job",0,0,33,0,1
732566961264041990,Although you're fully capable of understanding both sides of a... More for Libra https://t.co/l0Toev12wH,0,0,171,0,1
732566965483655168,Planning(new) : PA/2016/2307 - TW13 4EQ -  - Single storey rear extension https://t.co/emymgHjiZU,0,5,40,0,1
732566965475217408,one person unfollowed me // automatically checked by https://t.co/pqj0iegtZ8,0,631,640,0,1
732566982265049089,Mature BBW Teaches Chubby Lesbian https://t.co/ZUIzgti6SO,0,6,1,0,1
732566994843656192,"Although you foresee big changes unfolding at work, your smart... More for Taurus https://t.co/wdHizXYrH6",0,75,53,0,1
732566994826846208,You might think your practical approach to financial matters i... More for Virgo https://t.co/MbrXaaoO8H,0,0,36,0,1
732566994839425025,Conflicting emotions may tug at you until you begin to feel a ... More for Gemini https://t.co/sQvhC7ih6H,0,606,70,0,1
732566994852184064,Batting Average Leader For Canadian Baseball League (Min 100 At Bats): https://t.co/I9qGKnWJFl  #baseball #trivia,0,2274,3033,0,1
732566994839588865,RT @victoriamgreen: There's still time! RT &amp; FOLLOW to #WIn our #beauty bag #TravelTuesday #competition #giveaway https://t.co/bX6AANmXjy,0,2492,610,512,1
732567015819333634,You might think your practical approach to financial matters i... More for Virgo https://t.co/tKRGDUpf1V,0,322,112,0,1
732567015794315264,"Tandem Diabetes Care Inc (TNDM) Set to Announce #DiabetesFree, #diabetes, #stopdiabetes https://t.co/xYzLBvnppu https://t.co/CI04pwXg4L",0,3100,2896,0,1
732567040955961349,An original and full of essence movie at Hollywood! Here:https://t.co/aHY21NMW3H https://t.co/mwiNofaqO2,0,4650,1044,0,1
732567045154344960,interesting news - Fitness Plan Day 138: Go easy on your weight loss plan https://t.co/SlhX4IsztK,0,21,6,0,1
732567049373900801,"I've collected 11,795 gold coins!  https://t.co/YROKCzCb7z #android, #androidgames, #gameinsight",0,2,2,0,1
732567053559726081,Although you're fully capable of understanding both sides of a... More for Libra https://t.co/EOW4trIV4j,0,22,17,0,1
732567053559836672,RT @BramhamPark: Take a sneak peek at our re-vamped programme! Get yours at a discounted price here: https://t.co/hyRGU8WwBP #EBHT https://�,0,424,136,6,1
732567057766588420,"Maintaining a cool and calm attitude can be a challenge today,... More for Aries https://t.co/OmBZ1F2G2u",0,1234,682,0,1
732567057758363649,"I just found all 43 Twitter users who don't follow me back, thanks to https://t.co/uluV1bXM7c #androidapp",0,1489,543,0,1
732567061961007105,Yuck RT @Jess_aCreep: Like these chicks just sucking dick in a living room full of ppl,0,297,835,0,1
732567074506199040,Join me on #periscope download the app and follow me at Melissa Serene lets chat and hang out� https://t.co/ch1sjiOLOE,0,71,1762,1,1
732567078708772867,"WDW Canine Extravaganza 2016, Woodford Working Men's Club, WOODFORD Schedule � Sunday 29th� https://t.co/cyJII1qIzY https://t.co/REhua2Jxcg",0,479,677,0,1
732567082919825410,RT @chris_rogne: Join the @Crestwood_HS team as a 9-12 Spanish teacher:�https://t.co/9ZWyXAfWyg https://t.co/I4yAzDTdQw #langchat #iaedchat�,0,113,165,3,1
732567091304271872,Guess Who?: Quiz Loading... https://t.co/uVvNHHzokn,0,97,1379,0,1
732567091291787265,"I have Forester`s Hut on my island! Now my island is even more awesome!  https://t.co/RU56zGSMfr #android, #androidgames, #gameinsight",0,41,7,0,1
732567095486107649,Come and play https://t.co/mUrxPcBPnw #slitherioj,0,9,1,1,1
732567108085796864,How You Can Ensure Your Absolute Right to the Next Order https://t.co/WPXGciH0MW via @iannarino,0,3439,12009,0,1
732567112254808064,$CNBX How Much Momentum is Driving Your #Marijuana Stock? FIND OUT! (FOR FREE) https://t.co/ptUt0aIbjp Influence Your #Investment! #Momo420,0,2269,5225,0,1
732567116478455813,$GLBX How Much Momentum is Driving Your #Marijuana Stock? FIND OUT! (FOR FREE) https://t.co/inhKorGwvV Influence Your #Investment! #Momo420,0,2269,5225,0,1
732567116478570500,"New #job opportunity of CHARTWELLS MANAGER IN in #Toledo, #OH https://t.co/2xqOrOVbqT #jobs #hiring",0,1,30,0,1
732567133230489600,It seems like someone is trying to convince you to do somethin... More for Cancer https://t.co/EbBahaORTc,0,179,226,0,1
732567137445761024,"Maintaining a cool and calm attitude can be a challenge today,... More for Aries https://t.co/onnHFxPgiM",0,0,116,0,1
732567137445916672,PRE ORDER YOUR COPY NOW !!!!!!!!!!!!!!!!! https://t.co/3RdpByCKEq,0,64,13,0,1
732567145842888704,RT @carollushka: Enter to win a $100 SpaFinder GC to celebrate Mom via @ShannsView #FlippforMoms #WIN #CANwin #concours https://t.co/LdApSP�,0,0,79,1,1
732567145842757632,You clearly comprehend the measurable benefits of your current... More for Aquarius https://t.co/6DGghhgKJO,0,20,14,0,1
732567158430027777,RT @crimeairnetwork: SHE LEFT HER CAR DOOR WIDE OPEN &amp; THE WOLVES DIDNT HESITATE : https://t.co/aQU7WzaTVl,0,671,44,16,1
732567158400634880,5 people followed me and 7 people unfollowed me // automatically checked by https://t.co/k8gmgmdw1Y,0,1447,1408,0,1
732567162603233281,"#sport Arsenal transfer news: Latest on Higuain, Xhaka, Kante and more:  https://t.co/OyN5ILw0t3 #fks#superfans#wild",0,0,812,0,1
732567166806065152,Great presentation by @DTill63. Check it out for free! #PerformanceSummit https://t.co/8N1LQLtEmz,0,2461,5472,3,1
732567166797516800,"27.2236, Calls: Gen Ling, Historical Ling, Ling Theories, Morphology, Psycholing, Socioling/Germany https://t.co/njILEFk0tn",0,914,32455,1,1
732567166810099714,"#10BillionWives  I married17,722,351,745,648Wives!  iOS: https://t.co/NvLAEGnilG Android: https://t.co/XmARZJ6woA https://t.co/A4RhW1UTiT",0,4,1,0,1
732567171008598017,Your stellar presentation enables everyone to witness your det... More for Pisces https://t.co/zY26BtFECs,0,2194,1085,0,1
732567175202902016,News: Western Uranium Corp (WSTRF: OTC Pink Current) | https://t.co/zPh4BOOQ1E,0,415,1136,0,1
732567175177764865,You are highly strategic in your planning because your profess... More for Capricorn https://t.co/rpr2w62V8M,0,2464,1744,0,1
732567187752247298,Although you're fully capable of understanding both sides of a... More for Libra https://t.co/ajtcVAb5Fb,0,477,543,0,1
732567187785932800,RT @GulfTreasure: Amethyst Sea Glass Jewelry ~ Purple Texas Found Sea.. https://t.co/fvdCBie19s #GulfCoastTreasure #EpiconEtsy https://t.co�,0,0,5384,19,1
732567187769032706,@tabathacoffey Hi Tabatha!I love to invite you and your friends for relaxing and Celebrities treatments@ my Solo Per Te Studio 973-845-8803,0,13,4,0,1
732567200339464192,Found a Transponder Snail! What's inside? Mystery barrel's shocking secret!! https://t.co/hKfFWgcLAk #TreCru https://t.co/2I1ZpExGNI,0,2,0,0,1
732567208761548800,Share your plans with your closest supporters before it become... More for Sagittarius https://t.co/ZahE0Cm50V,0,0,201,0,1
732567217116577792,I just blocked Kevin,0,877,1103,0,1
732567221306839041,"RT @emozionijewelry: Follow us &amp; RT #MyEmozioni for a chance to #WIN a full @emozionijewelry set incl. coin, keeper &amp; chain (1/2) https://t�",0,1063,2418,1417,1
732567225517793280,"Your imagination is running wild today, but you seem so pragma... More for Scorpio https://t.co/PLUZr9OU42",0,393,18,0,1
